1er jour de la semaine,Semaine,Département Code,Département,Classe d'âge,Taux de passages aux urgences pour COVID-19,Taux d'hospitalisations après passages aux urgences pour COVID-19,Taux d'actes médicaux SOS médecins pour COVID-19,Région Code,Région
2020-08-10,2020-S33,89,Yonne,65 ans ou plus,2098.9505247,2631.5789474,0.0,27,Bourgogne et Franche-Comté
2020-08-10,2020-S33,89,Yonne,Tous âges,2121.0952565,2173.9130435,3546.0992908,27,Bourgogne et Franche-Comté
2020-08-17,2020-S34,89,Yonne,05-14 ans,1276.5957447,0.0,4761.9047619,27,Bourgogne et Franche-Comté
2020-08-24,2020-S35,89,Yonne,05-14 ans,0.0,0.0,9433.9622642,27,Bourgogne et Franche-Comté
2020-08-24,2020-S35,89,Yonne,15-64 ans,1243.2012432,609.75609756,19940.47619,27,Bourgogne et Franche-Comté
2020-08-24,2020-S35,89,Yonne,65 ans ou plus,1296.5964344,1801.8018018,11111.111111,27,Bourgogne et Franche-Comté
2020-08-31,2020-S36,89,Yonne,00-04 ans,775.19379845,0.0,8800.0,27,Bourgogne et Franche-Comté
2020-08-31,2020-S36,89,Yonne,15-64 ans,2170.4180064,602.40963855,22637.362637,27,Bourgogne et Franche-Comté
2020-09-14,2020-S38,89,Yonne,00-04 ans,746.26865672,0.0,1587.3015873,27,Bourgogne et Franche-Comté
2020-09-14,2020-S38,89,Yonne,05-14 ans,4093.5672515,0.0,15384.615385,27,Bourgogne et Franche-Comté
2020-09-14,2020-S38,89,Yonne,15-64 ans,3218.8841202,636.94267516,15517.241379,27,Bourgogne et Franche-Comté
2020-09-28,2020-S40,89,Yonne,15-64 ans,3043.1107354,1863.3540373,18980.169972,27,Bourgogne et Franche-Comté
2020-10-05,2020-S41,89,Yonne,00-04 ans,0.0,0.0,0.0,27,Bourgogne et Franche-Comté
2020-10-12,2020-S42,89,Yonne,00-04 ans,0.0,0.0,0.0,27,Bourgogne et Franche-Comté
2020-10-12,2020-S42,89,Yonne,15-64 ans,3752.1815009,4477.6119403,20798.319328,27,Bourgogne et Franche-Comté
2020-10-12,2020-S42,89,Yonne,Tous âges,2953.3917859,4878.0487805,14189.189189,27,Bourgogne et Franche-Comté
2020-10-19,2020-S43,89,Yonne,00-04 ans,0.0,0.0,0.0,27,Bourgogne et Franche-Comté
2020-10-19,2020-S43,89,Yonne,65 ans ou plus,4697.9865772,7661.2903226,11702.12766,27,Bourgogne et Franche-Comté
2020-10-26,2020-S44,89,Yonne,05-14 ans,0.0,0.0,0.0,27,Bourgogne et Franche-Comté
2020-11-02,2020-S45,89,Yonne,15-64 ans,7845.1882845,10071.942446,32242.990654,27,Bourgogne et Franche-Comté
2020-11-02,2020-S45,89,Yonne,65 ans ou plus,12295.081967,20588.235294,20512.820513,27,Bourgogne et Franche-Comté
2020-11-09,2020-S46,89,Yonne,05-14 ans,617.28395062,0.0,12698.412698,27,Bourgogne et Franche-Comté
2020-11-09,2020-S46,89,Yonne,15-64 ans,6619.8595787,9202.4539877,17575.757576,27,Bourgogne et Franche-Comté
2020-11-16,2020-S47,89,Yonne,65 ans ou plus,6432.748538,10236.220472,7843.1372549,27,Bourgogne et Franche-Comté
2020-11-23,2020-S48,89,Yonne,00-04 ans,0.0,0.0,0.0,27,Bourgogne et Franche-Comté
2020-11-30,2020-S49,89,Yonne,05-14 ans,0.0,0.0,5333.3333333,27,Bourgogne et Franche-Comté
2020-11-30,2020-S49,89,Yonne,Tous âges,5141.9389395,11467.889908,7809.8471986,27,Bourgogne et Franche-Comté
2020-12-14,2020-S51,89,Yonne,65 ans ou plus,7235.6215213,13821.138211,4225.3521127,27,Bourgogne et Franche-Comté
2020-12-28,2020-S53,89,Yonne,00-04 ans,0.0,0.0,0.0,27,Bourgogne et Franche-Comté
2020-12-28,2020-S53,89,Yonne,05-14 ans,0.0,0.0,5454.5454545,27,Bourgogne et Franche-Comté
2020-12-28,2020-S53,89,Yonne,15-64 ans,3857.8680203,5970.1492537,5120.4819277,27,Bourgogne et Franche-Comté
2021-01-04,2021-S01,89,Yonne,00-04 ans,0.0,0.0,0.0,27,Bourgogne et Franche-Comté
2021-01-04,2021-S01,89,Yonne,Tous âges,3425.0421112,9382.7160494,3105.5900621,27,Bourgogne et Franche-Comté
2021-01-18,2021-S03,89,Yonne,00-04 ans,0.0,0.0,0.0,27,Bourgogne et Franche-Comté
2021-01-18,2021-S03,89,Yonne,65 ans ou plus,7295.3736655,11923.076923,5882.3529412,27,Bourgogne et Franche-Comté
2021-01-25,2021-S04,89,Yonne,Tous âges,3111.814346,8158.5081585,5530.6427504,27,Bourgogne et Franche-Comté
2021-02-01,2021-S05,89,Yonne,05-14 ans,0.0,0.0,2857.1428571,27,Bourgogne et Franche-Comté
2021-02-08,2021-S06,89,Yonne,65 ans ou plus,4868.1541582,8866.9950739,1724.137931,27,Bourgogne et Franche-Comté
2021-02-15,2021-S07,89,Yonne,65 ans ou plus,3717.472119,6225.6809339,3125.0,27,Bourgogne et Franche-Comté
2021-02-22,2021-S08,89,Yonne,05-14 ans,0.0,0.0,4166.6666667,27,Bourgogne et Franche-Comté
2021-02-22,2021-S08,89,Yonne,65 ans ou plus,4046.2427746,7627.1186441,3797.4683544,27,Bourgogne et Franche-Comté
2021-03-01,2021-S09,89,Yonne,00-04 ans,687.28522337,0.0,709.21985816,27,Bourgogne et Franche-Comté
2021-03-01,2021-S09,89,Yonne,05-14 ans,0.0,0.0,2272.7272727,27,Bourgogne et Franche-Comté
2021-03-15,2021-S11,89,Yonne,00-04 ans,261.78010471,0.0,729.9270073,27,Bourgogne et Franche-Comté
2021-03-15,2021-S11,89,Yonne,05-14 ans,675.67567568,5263.1578947,3092.7835052,27,Bourgogne et Franche-Comté
2021-03-15,2021-S11,89,Yonne,15-64 ans,3880.866426,7831.3253012,10702.341137,27,Bourgogne et Franche-Comté
2021-03-22,2021-S12,89,Yonne,00-04 ans,0.0,0.0,1739.1304348,27,Bourgogne et Franche-Comté
2021-03-22,2021-S12,89,Yonne,05-14 ans,1612.9032258,11111.111111,4395.6043956,27,Bourgogne et Franche-Comté
2021-04-05,2021-S14,89,Yonne,00-04 ans,263.85224274,0.0,961.53846154,27,Bourgogne et Franche-Comté
